Step,Temperature,Humidity,Light,CO2,HumidityRatio,Action,Reward
0,0.8359604,0.44705254,0.34078658,0.34152347,0.70830846,1,1
1,0.8388119,0.44065085,0.33740854,0.35103017,0.70468897,1,1
2,0.8370297,0.42944786,0.29091176,0.3562452,0.69438297,1,1
3,0.84451485,0.43745,0.28787744,0.36060527,0.70538384,1,1
4,0.8459406,0.44385168,0.3350518,0.37189022,0.7115245,1,1
5,0.8388119,0.44705254,0.3160014,0.38009745,0.70998377,1,1
6,0.84451485,0.44705254,0.2998969,0.37907156,0.71333766,1,1
7,0.84451485,0.45345426,0.28045368,0.38543215,0.7186404,1,1
8,0.8402376,0.45772207,0.3004861,0.3913824,0.71965015,1,1
9,0.84237623,0.4635903,0.2836942,0.3977943,0.72577107,1,1
10,0.83168316,0.47586024,0.28387097,0.40677097,0.7295828,1,1
11,0.83168316,0.48012802,0.28001177,0.4149782,0.73310685,1,1
12,0.83168316,0.49079755,0.27632937,0.4286569,0.7419174,1,1
13,0.83168316,0.498693,0.2733834,0.43590665,0.74843746,1,1
14,0.83168316,0.5110696,0.2733834,0.44472942,0.75865877,1,1
15,0.83168316,0.51987195,0.2680807,0.4642216,0.7659286,1,1
16,0.8079208,0.5110696,0.26749152,0.47550654,0.74443066,1,1
17,0.8174257,0.5202454,0.2698483,0.4822775,0.75766325,1,1
18,0.819802,0.52814084,0.2733834,0.48525262,0.76559156,1,1
19,0.8174257,0.5334756,0.2786861,0.49376762,0.76855075,1,1
20,0.8079208,0.5398773,0.2733834,0.50320596,0.7680791,1,1
21,0.8079208,0.54798615,0.2936515,0.51059246,0.7747364,1,1
22,0.8079208,0.55374765,0.31238768,0.5149013,0.77946675,1,1
23,0.8079208,0.55801547,0.31439093,0.52208257,0.7829708,1,1
24,0.8079208,0.55908245,0.30888203,0.5360349,0.7838468,1,1
25,0.81386137,0.5646839,0.2938086,0.5473198,0.7920633,1,1
26,0.8079208,0.5644172,0.3042176,0.54937166,0.788227,1,1
27,0.8079208,0.5667645,0.29530123,0.5448577,0.79015434,1,1
28,0.8079208,0.57615364,0.30755633,0.5517654,0.7978639,1,1
29,0.8079208,0.578821,0.30667257,0.5660426,0.8000542,1,1
30,0.8079208,0.58682317,0.29770848,0.56519985,0.8066253,1,1
31,0.8079208,0.58682317,0.28772032,0.5698897,0.8066253,1,1
32,0.8079208,0.58042145,0.30166447,0.5797384,0.8013684,1,1
33,0.8079208,0.58682317,0.30107528,0.5844576,0.8066253,1,1
34,0.8118812,0.59037966,0.295478,0.58681715,0.81197834,1,1
35,0.82376236,0.59749264,0.29675457,0.588356,0.8251541,1,1
36,0.8079208,0.59749264,0.2846762,0.5970762,0.8153871,1,1
37,0.8079208,0.59989333,0.2848726,0.60682225,0.8173586,1,1
38,0.8079208,0.60709524,0.2786861,0.6088741,0.82327324,1,1
39,0.8079208,0.6142082,0.27711493,0.61263573,0.8291151,1,1
40,0.8079208,0.60861945,0.2828946,0.6185469,0.82452506,1,1
41,0.8019802,0.60709524,0.2733834,0.6142601,0.81960756,1,1
42,0.7936634,0.60922915,0.27951097,0.61605537,0.8162299,1,1
43,0.8079208,0.62715393,0.27691853,0.62303156,0.8397478,1,1
44,0.790099,0.6295012,0.26749152,0.64426774,0.8306091,1,1
45,0.7841584,0.62715393,0.26749152,0.64401126,0.8250138,1,1
46,0.7841584,0.6295012,0.26749152,0.63862526,0.82693005,1,1
47,0.7841584,0.6295012,0.26749152,0.63990766,0.82693005,1,1
48,0.7841584,0.6295012,0.26218882,0.64231855,0.82693005,1,1
49,0.7841584,0.6295012,0.2586537,0.64426774,0.82693005,1,1
50,0.7841584,0.6321686,0.26174694,0.6437548,0.8291076,1,1
51,0.77108914,0.64283806,0.26793343,0.6483714,0.8297049,1,1
52,0.7580198,0.6487063,0.26855206,0.64888436,0.8263744,1,1
53,0.7580198,0.6508402,0.2660775,0.6628366,0.828105,1,1
54,0.7580198,0.6508402,0.2660775,0.6679661,0.828105,1,1
55,0.7580198,0.6508402,0.26793343,0.67042834,0.828105,1,1
56,0.7580198,0.65324086,0.26793343,0.6714542,0.8300518,1,1
